Name;Description;Estimated Number of Cells;Mean Reads per Cell;Median Genes per Cells;Median UMI per cells;Total Genes Detected;Number of reads;Sequencing saturation;Fraction of Reads in Cells;Reads Mapped to Transcriptome
Name_1;Position_1;1923;124113;923;2019;19879;238670493;93.7;84.6;59.2
Name_2;Position_2;1797;126289;1834;8041;19964;226942320;75.4;53.2;60.4
Name_3;Position_3;2035;101692;1041;3435;20118;206944772;86.3;66.4;58.1
Name_4;Position_4;6600;66224;3544;15449;23662;437084961;48.2;87.7;59
Name_5;Position_1;1250;55933;1078;2806;19315;69917185;81.1;74.1;50.8
Name_6;Position_2;1210;90018;1927;5452;20682;108922649;76.4;78.1;40
Name_7;Position_3;2965;44607;1860;6115;21765;132261956;55.9;81;46.1
Name_8;Position_4;1428;179509;2021;5354;20775;256338886;81.9;52.1;55
Name_9;Position_1;1382;97895;988;2332;19636;135291151;87.7;57.6;54.6
Name_10;Position_2;3348;50143;1453;4109;21260;167546231;76.8;79.1;61.5
Name_11;Position_3;1917;135169;2349;9625;21163;259119163;77.9;73.9;58.9
Name_12;Position_4;5270;88721;1874;3395;20210;345987263;58.4;78.4;57.2
